Community,Population
City of Agoura Hills,21168
City of Alhambra,86706
City of Arcadia,56993
City of Artesia,16828
City of Avalon,3661
City of Azusa,49480
City of Baldwin Park,74438
City of Bell,36596
City of Bell Gardens,42816
City of Bellflower,76060
City of Beverly Hills,34652
City of Bradbury,1124
City of Burbank,104692
City of Calabasas,24183
City of Carson,93738
City of Cerritos,49249
City of Claremont,36122
City of Commerce,13090
City of Compton,100952
City of Covina,49131
City of Cudahy,24526
City of Culver City,40351
City of Diamond Bar,57127
City of Downey,113811
City of Duarte,22166
City of El Monte,113725
City of El Segundo,16581
City of Gardena,60679
City of Glendale,201605
City of Glendora,52233
City of Hawaiian Gardens,14890
City of Hawthorne,87775
City of Hermosa Beach,19710
City of Hidden Hills,1868
City of Huntington Park,59508
City of Industry,439
City of Inglewood,116359
City of Irwindale,1395
City of La Canada Flintridge,20492
City of La Habra Heights,5446
City of La Mirada,49465
City of La Puente,40378
City of La Verne,33108
City of Lakewood,78192
City of Lancaster,156607
City of Lawndale,33380
City of Lomita,20211
City of Long Beach,483934
City of Lynwood,72189
City of Malibu,12669
City of Manhattan Beach,35171
City of Maywood,28129
City of Monrovia,37468
City of Montebello,63731
City of Monterey Park,61121
City of Norwalk,104868
City of Palmdale,159689
City of Palos Verdes Estates,13667
City of Paramount,56225
City of Pasadena,140883
City of Pico Rivera,64052
City of Pomona,155212
City of Rancho Palos Verdes,42908
City of Redondo Beach,69316
City of Rolling Hills,1938
City of Rolling Hills Estates,7995
City of Rosemead,55058
City of San Dimas,34014
City of San Fernando,24465
City of San Gabriel,40311
City of San Marino,13516
City of Santa Clarita,219356
City of Santa Fe Springs,18653
City of Santa Monica,93410
City of Sierra Madre,10972
City of Signal Hill,11634
City of South El Monte,20806
City of South Gate,99739
City of South Pasadena,25937
City of Temple City,36499
City of Torrance,146686
City of Vernon,253
City of Walnut,30067
City of West Covina,107688
City of West Hollywood,35798
City of Westlake Village,8355
City of Whittier,88076
Los Angeles - Adams-Normandie,8487
Los Angeles - Alsace,12743
Los Angeles - Angeles National Forest,20
Los Angeles - Angelino Heights,2536
Los Angeles - Arleta,35111
Los Angeles - Atwater Village,14703
Los Angeles - Baldwin Hills,29994
Los Angeles - Bel Air,8218
Los Angeles - Beverly Crest,12395
Los Angeles - Beverlywood,13321
Los Angeles - Boyle Heights,87247
Los Angeles - Brentwood,31267
Los Angeles - Brookside,664
Los Angeles - Cadillac-Corning,7278
Los Angeles - Canoga Park,63694
Los Angeles - Carthay,13418
Los Angeles - Central,39107
Los Angeles - Century City,12112
Los Angeles - Century Palms/Cove,33866
Los Angeles - Chatsworth,36039
Los Angeles - Cheviot Hills,9264
Los Angeles - Chinatown,8046
Los Angeles - Cloverdale/Cochran,15007
Los Angeles - Country Club Park,15404
Los Angeles - Crenshaw District,13754
Los Angeles - Crestview,11446
Los Angeles - Del Rey,29258
Los Angeles - Downtown,24250
Los Angeles - Eagle Rock,39175
Los Angeles - East Hollywood,29790
Los Angeles - Echo Park,14346
Los Angeles - El Sereno,41744
Los Angeles - Elysian Park,5782
Los Angeles - Elysian Valley,10263
Los Angeles - Encino,42533
Los Angeles - Exposition,3480
Los Angeles - Exposition Park,45190
Los Angeles - Faircrest Heights,3636
Los Angeles - Figueroa Park Square,8963
Los Angeles - Florence-Firestone,48852
Los Angeles - Glassell Park,31385
Los Angeles - Gramercy Place,10464
Los Angeles - Granada Hills,57975
Los Angeles - Green Meadows,21733
Los Angeles - Hancock Park,16425
Los Angeles - Harbor City,28957
Los Angeles - Harbor Gateway,43699
Los Angeles - Harbor Pines,2306
Los Angeles - Harvard Heights,18399
Los Angeles - Harvard Park,39646
Los Angeles - Highland Park,48168
Los Angeles - Historic Filipinotown,14155
Los Angeles - Hollywood,64944
Los Angeles - Hollywood Hills,28875
Los Angeles - Hyde Park,29385
Los Angeles - Jefferson Park,8211
Los Angeles - Koreatown,52603
Los Angeles - Lafayette Square,4626
Los Angeles - Lake Balboa,41661
Los Angeles - Lakeview Terrace,13362
Los Angeles - Leimert Park,15107
Los Angeles - Lincoln Heights,33052
Los Angeles - Little Armenia,7570
Los Angeles - Little Bangladesh,29070
Los Angeles - Little Tokyo,3238
Los Angeles - Longwood,4498
Los Angeles - Los Feliz,21340
Los Angeles - Manchester Square,8497
Los Angeles - Mandeville Canyon,3188
Los Angeles - Mar Vista,41891
Los Angeles - Marina Peninsula,4393
Los Angeles - Melrose,77634
Los Angeles - Mid-city,15062
Los Angeles - Miracle Mile,17667
Los Angeles - Mission Hills,23975
Los Angeles - Mt. Washington,23929
Los Angeles - North Hills,60919
Los Angeles - North Hollywood,151354
Los Angeles - Northridge,67755
Los Angeles - Pacific Palisades,20704
Los Angeles - Pacoima,79940
Los Angeles - Palisades Highlands,3875
Los Angeles - Palms,45160
Los Angeles - Panorama City,76007
Los Angeles - Park La Brea,13584
Los Angeles - Pico-Union,42603
Los Angeles - Playa Del Rey,3292
Los Angeles - Playa Vista,9984
Los Angeles - Porter Ranch,33206
Los Angeles - Rancho Park,6700
Los Angeles - Regent Square,2876
Los Angeles - Reseda,75758
Los Angeles - Reseda Ranch,4737
Los Angeles - Reynier Village,4435
Los Angeles - San Pedro,77811
Los Angeles - Shadow Hills,4592
Los Angeles - Sherman Oaks,84967
Los Angeles - Silverlake,43188
Los Angeles - South Carthay,10596
Los Angeles - South Park,39093
Los Angeles - St Elmo Village,4637
Los Angeles - Studio City,21403
Los Angeles - Sun Valley,55192
Los Angeles - Sunland,20511
Los Angeles - Sycamore Square,676
Los Angeles - Sylmar,82749
Los Angeles - Tarzana,30227
Los Angeles - Temple-Beaudry,38987
Los Angeles - Thai Town,9677
Los Angeles - Toluca Lake,8219
Los Angeles - Toluca Terrace,1384
Los Angeles - Toluca Woods,1875
Los Angeles - Tujunga,28176
Los Angeles - University Hills,3286
Los Angeles - University Park,26923
Los Angeles - Valley Glen,29846
Los Angeles - Valley Village,23428
Los Angeles - Van Nuys,92856
Los Angeles - Venice,34136
Los Angeles - Vermont Knolls,17870
Los Angeles - Vermont Square,7640
Los Angeles - Vermont Vista,41668
Los Angeles - Vernon Central,54121
Los Angeles - Victoria Park,8568
Los Angeles - View Heights,3327
Los Angeles - Watts,43908
Los Angeles - Wellington Square,5000
Los Angeles - West Adams,28121
Los Angeles - West Hills,39127
Los Angeles - West Los Angeles,37492
Los Angeles - West Vernon,54300
Los Angeles - Westchester,50798
Los Angeles - Westlake,58683
Los Angeles - Westwood,54421
Los Angeles - Wholesale District,38191
Los Angeles - Wilmington,57279
Los Angeles - Wilshire Center,51463
Los Angeles - Winnetka,51036
Los Angeles - Woodland Hills,64543
Unincorporated - Acton,8013
Unincorporated - Agua Dulce,3975
Unincorporated - Altadena,42467
Unincorporated - Anaverde,1540
Unincorporated - Angeles National Forest,1397
Unincorporated - Arcadia,7833
Unincorporated - Athens Village,4999
Unincorporated - Athens-Westmont,41642
Unincorporated - Avocado Heights,6803
Unincorporated - Azusa,16047
Unincorporated - Bassett,14509
Unincorporated - Bouquet Canyon,1100
Unincorporated - Bradbury,146
Unincorporated - Canyon Country,7079
Unincorporated - Castaic,28325
Unincorporated - Cerritos,577
Unincorporated - Charter Oak,20
Unincorporated - Claremont,501
Unincorporated - Covina,16690
Unincorporated - Covina (Charter Oak),12696
Unincorporated - Del Aire,4278
Unincorporated - Del Rey,251
Unincorporated - Del Sur,2393
Unincorporated - Desert View Highlands,2454
Unincorporated - Duarte,4646
Unincorporated - East Covina,316
Unincorporated - East La Mirada,5137
Unincorporated - East Lancaster,128
Unincorporated - East Los Angeles,126985
Unincorporated - East Pasadena,7594
Unincorporated - East Rancho Dominguez,16113
Unincorporated - East Whittier,4827
Unincorporated - El Camino Village,8852
Unincorporated - El Monte,150
Unincorporated - Elizabeth Lake,1645
Unincorporated - Florence-Firestone,65782
Unincorporated - Franklin Canyon,11
Unincorporated - Glendora,657
Unincorporated - Hacienda Heights,54634
Unincorporated - Harbor Gateway,1
Unincorporated - Hawthorne,2671
Unincorporated - Hi Vista,1081
Unincorporated - Kagel/Lopez Canyons,1362
Unincorporated - La Crescenta-Montrose,19761
Unincorporated - La Habra Heights,657
Unincorporated - La Rambla,1994
Unincorporated - La Verne,2038
Unincorporated - Ladera Heights,5940
Unincorporated - Lake Hughes,770
Unincorporated - Lake Los Angeles,13049
Unincorporated - Lake Manor,1619
Unincorporated - Lakewood,114
Unincorporated - Lennox,23586
Unincorporated - Leona Valley,1592
Unincorporated - Littlerock,3757
Unincorporated - Littlerock/Juniper Hills,226
Unincorporated - Littlerock/Pearblossom,3525
Unincorporated - Llano,900
Unincorporated - Marina del Rey,9172
Unincorporated - Miracle Mile,3
Unincorporated - Monrovia,3935
Unincorporated - Newhall,216
Unincorporated - North Lancaster,1194
Unincorporated - North Whittier,8006
Unincorporated - Northeast San Gabriel,23855
Unincorporated - Padua Hills,215
Unincorporated - Palmdale,770
Unincorporated - Palos Verdes Peninsula,671
Unincorporated - Pearblossom/Llano,3016
Unincorporated - Pellissier Village,679
Unincorporated - Placerita Canyon,444
Unincorporated - Pomona,1896
Unincorporated - Quartz Hill,12817
Unincorporated - Rancho Dominguez,2584
Unincorporated - Roosevelt,1057
Unincorporated - Rosewood,1194
Unincorporated - Rosewood/East Gardena,1193
Unincorporated - Rosewood/West Rancho Dominguez,1000
Unincorporated - Rowland Heights,50863
Unincorporated - San Clemente Island,6
Unincorporated - San Francisquito Canyon/Bouquet Canyon,2
Unincorporated - San Jose Hills,20644
Unincorporated - San Pasqual,2117
Unincorporated - Sand Canyon,307
Unincorporated - Santa Catalina Island,367
Unincorporated - Santa Monica Mountains,18883
Unincorporated - Saugus,153
Unincorporated - Saugus/Canyon Country,381
Unincorporated - South Antelope Valley,465
Unincorporated - South El Monte,1791
Unincorporated - South San Gabriel,8591
Unincorporated - South Whittier,58245
Unincorporated - Southeast Antelope Valley,754
Unincorporated - Stevenson Ranch,20498
Unincorporated - Sun Village,6052
Unincorporated - Sunrise Village,1311
Unincorporated - Twin Lakes/Oat Mountain,1521
Unincorporated - Val Verde,3244
Unincorporated - Valencia,5016
Unincorporated - Valinda,23342
Unincorporated - View Park/Windsor Hills,10100
Unincorporated - Walnut Park,15988
Unincorporated - West Antelope Valley,1639
Unincorporated - West Carson,21922
Unincorporated - West Chatsworth,12
Unincorporated - West LA,667
Unincorporated - West Puente Valley,9734
Unincorporated - West Rancho Dominguez,1325
Unincorporated - West Whittier/Los Nietos,26566
Unincorporated - Westfield/Academy Hills,1299
Unincorporated - Westhills,785
Unincorporated - White Fence Farms,3404
